id,title,empesa,local,salario,tipo,descricao,links
11,"Bolsista Mestre [Física, Matemática, Computação] ICT Itaú",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Responsável por projetar, construir, operar e evoluir a infraestrutura crítica e os pipelines de entrega contínua da plataforma. Atua como pilar técnico de confiabilidade, observability e segurança na nuvem (principalmente AWS), suportando a transição de persistência e garantindo que os times de desenvolvimento (frontend e backend) consigam entregar valor de forma previsível, segura e escalável. Esse profissional tem ownership da infraestrutura e automação, antecipa riscos, responde a incidentes e entrega operações de produção de alta qualidade.\n\nResponsabilidades principais\n• Projetar, implementar e manter infraestrutura como código (IaC) para ambientes em AWS, garantindo idempotência, modularidade e segurança.\n• Construir e evoluir pipelines de CI/CD usando GitHub Actions para build, teste, quality gates e deploys das aplicações.\n• Gerenciar e otimizar o banco de dados de destino da migração: Aurora Postgres (tuning, alta disponibilidade, conexões, backup/restore).\n• Garantir observability completa: instrumentar aplicações e infraestrutura (tracing, logs estruturados, métricas), definir e monitorar SLIs/SLOs, e liderar post-mortems.\n• Operar workloads containerizadas (Docker + Kubernetes/EKS): deploys, health checks, autoscaling, secrets management, segurança e recuperação.\n• Definir e aplicar boas práticas de segurança de borda e APIs, incluindo integração/uso de API Gateway e noções de proteção (WAF, rate limiting, mitigação OWASP).\n• Projetar e manter a rede em cloud: VPCs, sub-redes, security groups, peering, conectividade segura entre serviços.\n• Automatizar tarefas operacionais recorrentes com foco em confiabilidade e auto- recuperação.\n• Gerenciar secrets e configurações de forma segura nos pipelines e runtime.\n• Colaborar com times de frontend e backend para remover bloqueios, alinhar releases e garantir suporte técnico de produto.\n• Antecipar e mitigar dependências e riscos entre componentes da plataforma.\n• Participar e liderar incident response: detectar, diagnosticar, comunicar e resolver incidentes de produção com transparência e lições aprendidas.\n\nConhecimentos técnicos obrigatórios\n• AWS: experiência prática com serviços centrais (EC2/EKS, IAM, S3, CloudWatch, Secrets Manager / Parameter Store), deploy seguro e arquitetura resiliente.\n• Aurora Postgres: operação, tuning de performance, gerenciamento de conexões, estratégia de failover e backup/restore.\n• CI/CD com GitHub Actions: definição, implementação e manutenção de pipelines completos (build ? test ? quality gate ? deploy), incluindo rollback e rollout controlado.\n• Infraestrutura como código: uso avançado de Terraform com modularização, controle de estado e workflows seguros.\n• Containerização & Kubernetes (preferencialmente EKS): deploys, gestão de secrets, health checks, autoscaling, security context, políticas de rede.\n• Observability / Monitoring / Tracing: instrumentação de sistemas distribuídos, definição de SLIs/SLOs, dashboards, alerting e resposta a incidentes.\n• Networking em cloud: design de VPC, sub-redes, security groups, conectividade segura.\n• Automação / scripting: proficiência em shell, Python ou outra linguagem para glue logic.\n• Segurança de pipeline e runtime: gerenciamento de secrets, prevenção de vazamentos, hardening básico.\n\nConhecimentos desejados\n• Noção do sistema legado em Oracle Cloud / Oracle Database para facilitar comunicação durante a migração.\n• Práticas de GitOps: promover ambientes de forma declarativa via Git.\n• Integração com feature flags para controlar rollouts e experimentos.\n• Experiência com cache distribuído (ex: Redis).\n• Estratégias de disaster recovery / multiregião e resiliência.\n• Consciência de FinOps: otimização de custos, tagging e rightsizing.\n• Segurança avançada: scanning de imagens (SBOM, SCA), detecção de anomalias.\n Benefícios:\n -. Convênio com o SESC\n -. Seguro de vida\n -. Plataforma de cursos EAD Refuturiza\n -. Day off de aniversário\n -. Cartão de Todos\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Infraestrutura\nExigências\nEscolaridade Mínima: Curso Técnico\nValorizado\nExperiência desejada: Entre 3 e 5 anos\nInglês (Avançado)\nHabilidades\nAntecipação de problemas e mitigação antes de escalarem.\nAssume responsabilidade (ownership) da infraestrutura e pipelines.\nAWS\nCloud\nComunicação clara e proativa; remove bloqueios de forma colaborativa.\nDecisões baseadas em dados, com viés para ação pragmática.\nMentalidade de melhoria contínua e aprendizado técnico.\nOracle\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-fisica,-matematica,-computacao-ict-itau-em-__10814776.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
12,"Bolsista Mestre [Engenharia Da Computação, Ciência Da Computação, Estatística] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Responsável por projetar, construir, operar e evoluir a infraestrutura crítica e os pipelines de entrega contínua da plataforma. Atua como pilar técnico de confiabilidade, observability e segurança na nuvem (principalmente AWS), suportando a transição de persistência e garantindo que os times de desenvolvimento (frontend e backend) consigam entregar valor de forma previsível, segura e escalável. Esse profissional tem ownership da infraestrutura e automação, antecipa riscos, responde a incidentes e entrega operações de produção de alta qualidade.\n\nResponsabilidades principais\n• Projetar, implementar e manter infraestrutura como código (IaC) para ambientes em AWS, garantindo idempotência, modularidade e segurança.\n• Construir e evoluir pipelines de CI/CD usando GitHub Actions para build, teste, quality gates e deploys das aplicações.\n• Gerenciar e otimizar o banco de dados de destino da migração: Aurora Postgres (tuning, alta disponibilidade, conexões, backup/restore).\n• Garantir observability completa: instrumentar aplicações e infraestrutura (tracing, logs estruturados, métricas), definir e monitorar SLIs/SLOs, e liderar post-mortems.\n• Operar workloads containerizadas (Docker + Kubernetes/EKS): deploys, health checks, autoscaling, secrets management, segurança e recuperação.\n• Definir e aplicar boas práticas de segurança de borda e APIs, incluindo integração/uso de API Gateway e noções de proteção (WAF, rate limiting, mitigação OWASP).\n• Projetar e manter a rede em cloud: VPCs, sub-redes, security groups, peering, conectividade segura entre serviços.\n• Automatizar tarefas operacionais recorrentes com foco em confiabilidade e auto- recuperação.\n• Gerenciar secrets e configurações de forma segura nos pipelines e runtime.\n• Colaborar com times de frontend e backend para remover bloqueios, alinhar releases e garantir suporte técnico de produto.\n• Antecipar e mitigar dependências e riscos entre componentes da plataforma.\n• Participar e liderar incident response: detectar, diagnosticar, comunicar e resolver incidentes de produção com transparência e lições aprendidas.\n\nConhecimentos técnicos obrigatórios\n• AWS: experiência prática com serviços centrais (EC2/EKS, IAM, S3, CloudWatch, Secrets Manager / Parameter Store), deploy seguro e arquitetura resiliente.\n• Aurora Postgres: operação, tuning de performance, gerenciamento de conexões, estratégia de failover e backup/restore.\n• CI/CD com GitHub Actions: definição, implementação e manutenção de pipelines completos (build ? test ? quality gate ? deploy), incluindo rollback e rollout controlado.\n• Infraestrutura como código: uso avançado de Terraform com modularização, controle de estado e workflows seguros.\n• Containerização & Kubernetes (preferencialmente EKS): deploys, gestão de secrets, health checks, autoscaling, security context, políticas de rede.\n• Observability / Monitoring / Tracing: instrumentação de sistemas distribuídos, definição de SLIs/SLOs, dashboards, alerting e resposta a incidentes.\n• Networking em cloud: design de VPC, sub-redes, security groups, conectividade segura.\n• Automação / scripting: proficiência em shell, Python ou outra linguagem para glue logic.\n• Segurança de pipeline e runtime: gerenciamento de secrets, prevenção de vazamentos, hardening básico.\n\nConhecimentos desejados\n• Noção do sistema legado em Oracle Cloud / Oracle Database para facilitar comunicação durante a migração.\n• Práticas de GitOps: promover ambientes de forma declarativa via Git.\n• Integração com feature flags para controlar rollouts e experimentos.\n• Experiência com cache distribuído (ex: Redis).\n• Estratégias de disaster recovery / multiregião e resiliência.\n• Consciência de FinOps: otimização de custos, tagging e rightsizing.\n• Segurança avançada: scanning de imagens (SBOM, SCA), detecção de anomalias.\n Benefícios:\n -. Convênio com o SESC\n -. Seguro de vida\n -. Plataforma de cursos EAD Refuturiza\n -. Day off de aniversário\n -. Cartão de Todos\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Infraestrutura\nExigências\nEscolaridade Mínima: Curso Técnico\nValorizado\nExperiência desejada: Entre 3 e 5 anos\nInglês (Avançado)\nHabilidades\nAntecipação de problemas e mitigação antes de escalarem.\nAssume responsabilidade (ownership) da infraestrutura e pipelines.\nAWS\nCloud\nComunicação clara e proativa; remove bloqueios de forma colaborativa.\nDecisões baseadas em dados, com viés para ação pragmática.\nMentalidade de melhoria contínua e aprendizado técnico.\nOracle\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia-da-computacao,-ciencia-em-__10812826.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
13,Pessoa Analista De Dados Pleno,DAKI,Todo Brasil,"R$ 5.000,00 a R$ 10.000,00 (Bruto mensal)",Híbrido,"['A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!\nMais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.\nE tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.\n\nSobre a vaga:\nEstamos em busca de uma pessoa analista de dados pleno para integrar nosso time de Data & Analytics. Procuramos alguém com forte capacidade analítica, pensamento estruturado e boa comunicação para traduzir desafios de negócio em soluções baseadas em dados — indo de KPIs a automações com inteligência artificial. Se você gosta de trabalhar com grandes volumes de dados, construir análises acionáveis e tem curiosidade sobre como IA pode impulsionar decisões, essa vaga é para você.\n\nSobre o time de Data & Analytics\nNosso time é composto por engenheiros, analistas e cientistas de dados que lideram a estratégia analítica da Daki. Trabalhamos com uma stack moderna (Snowflake, Looker, Python, Airflow, PubSub, entre outros) e colaboramos diretamente com áreas como Operações, Comercial, CX, Produto e Tech. Mais do que gerar insights, ajudamos a escalar uma cultura data-driven e acelerar o uso de IA aplicada a negócios. Nossa ambição é ser referência em dados no varejo latino-americano.\n\nResponsabilidades:\n*Trabalhar em parceria com stakeholders para identificar oportunidades analíticas e construir roadmaps de dados;\n* Criar, manter e evoluir KPIs, dashboards, análises ad-hoc e automações analíticas;\n* Participar de iniciativas que envolvem machine learning ou uso de LLMs/IA generativa como copilotos analíticos;\n* Desenvolver e documentar modelos de dados e processos analíticos reutilizáveis;\n* Garantir consistência nas definições de métricas em toda a companhia;\n* Trabalhar com times multidisciplinares (Data Engineering, Data Science, Produto, Tech, etc.) em projetos complexos;\n* Apoiar o uso das ferramentas de self-service BI pela companhia com orientação técnica e disseminação de boas práticas.\n\nRequisitos\n* Experiência sólida com SQL e ferramentas de visualização (preferência por Looker);\n* Vivência com grandes volumes de dados e múltiplas fontes;\n* Boa capacidade de estruturação de análises e storytelling com dados;\n* Experiência com Python para análise de dados (pandas, numpy, jupyter notebooks);\n* Conhecimento em modelagem de dados e conceitos de Data Warehousing;\n* Interesse ou experiência prática em projetos com AI aplicada (ex: automações com LLMs, copilotos, classificação via ML etc.);\n* Boa comunicação e habilidade de trabalhar em equipe;\n* Inglês intermediário (para leitura de documentação e colaboração com áreas globais é um diferencial).\n\nInformações adicionais:\nEstamos em crescimento: Nosso modelo de trabalho é híbrido, permitindo que o Dakier atue de forma remota e presencial;\nSomos Modernos: por meio do cartão Flash, você recebe o vale refeição, dando mais liberdade ao Dakier de como utilizar;\nTransporte: realizamos o depósito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;\nSaúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e Odontológica, e também o Total Pass;\nMimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Análise de Sistema\nExigências\nEscolaridade Mínima: Ensino Superior\nHabilidades\nBI\nData\nIA\nLooker\nSQL\nDenunciar vaga']","{'vaga': '/vaga-de-pessoa-analista-dados-pleno-em-__10809641.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-daki__-9847045.aspx'}"
14,"Bolsista Doutor [Física, Matemática, Computação] ICT Itaú",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 5.000,00 a R$ 10.000,00 (Bruto mensal)",Híbrido,"['A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!\nMais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.\nE tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.\n\nSobre a vaga:\nEstamos em busca de uma pessoa analista de dados pleno para integrar nosso time de Data & Analytics. Procuramos alguém com forte capacidade analítica, pensamento estruturado e boa comunicação para traduzir desafios de negócio em soluções baseadas em dados — indo de KPIs a automações com inteligência artificial. Se você gosta de trabalhar com grandes volumes de dados, construir análises acionáveis e tem curiosidade sobre como IA pode impulsionar decisões, essa vaga é para você.\n\nSobre o time de Data & Analytics\nNosso time é composto por engenheiros, analistas e cientistas de dados que lideram a estratégia analítica da Daki. Trabalhamos com uma stack moderna (Snowflake, Looker, Python, Airflow, PubSub, entre outros) e colaboramos diretamente com áreas como Operações, Comercial, CX, Produto e Tech. Mais do que gerar insights, ajudamos a escalar uma cultura data-driven e acelerar o uso de IA aplicada a negócios. Nossa ambição é ser referência em dados no varejo latino-americano.\n\nResponsabilidades:\n*Trabalhar em parceria com stakeholders para identificar oportunidades analíticas e construir roadmaps de dados;\n* Criar, manter e evoluir KPIs, dashboards, análises ad-hoc e automações analíticas;\n* Participar de iniciativas que envolvem machine learning ou uso de LLMs/IA generativa como copilotos analíticos;\n* Desenvolver e documentar modelos de dados e processos analíticos reutilizáveis;\n* Garantir consistência nas definições de métricas em toda a companhia;\n* Trabalhar com times multidisciplinares (Data Engineering, Data Science, Produto, Tech, etc.) em projetos complexos;\n* Apoiar o uso das ferramentas de self-service BI pela companhia com orientação técnica e disseminação de boas práticas.\n\nRequisitos\n* Experiência sólida com SQL e ferramentas de visualização (preferência por Looker);\n* Vivência com grandes volumes de dados e múltiplas fontes;\n* Boa capacidade de estruturação de análises e storytelling com dados;\n* Experiência com Python para análise de dados (pandas, numpy, jupyter notebooks);\n* Conhecimento em modelagem de dados e conceitos de Data Warehousing;\n* Interesse ou experiência prática em projetos com AI aplicada (ex: automações com LLMs, copilotos, classificação via ML etc.);\n* Boa comunicação e habilidade de trabalhar em equipe;\n* Inglês intermediário (para leitura de documentação e colaboração com áreas globais é um diferencial).\n\nInformações adicionais:\nEstamos em crescimento: Nosso modelo de trabalho é híbrido, permitindo que o Dakier atue de forma remota e presencial;\nSomos Modernos: por meio do cartão Flash, você recebe o vale refeição, dando mais liberdade ao Dakier de como utilizar;\nTransporte: realizamos o depósito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;\nSaúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e Odontológica, e também o Total Pass;\nMimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Análise de Sistema\nExigências\nEscolaridade Mínima: Ensino Superior\nHabilidades\nBI\nData\nIA\nLooker\nSQL\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-doutor-fisica,-matematica,-computacao-ict-itau-em-__10805894.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
15,"Bolsista Graduado [Sistemas De Informação, Engenharias, Ciência De Dados, Áreas Correlatas] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Graduado - TECH 2\n• Formação: Graduado;\n• Cursos: Sistemas de Informação, Engenharias, Ciência de dados, áreas correlatas\n\nAtividades:\n• Homologação de sistemas de informação;\n• Conhecimento de engenharia de dados;\n• Validação de cenários de testes.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco de Dados relacional, Python e SQL.\n\nConhecimentos Desejáveis:\n• AWS, Athena, Glue.\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Home Office \n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1154288391)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-graduado-sistemas-informacao,-em-__10798244.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
16,"Bolsista Graduado[Engenharia De Computação, Governança De Dados ] BECOMEX",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Graduado\n• Formação: Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em Governança de dados\n• Conhecimento em Desenvolvimento de software (Back-end)\n• Inglês intermediário\n\nConhecimentos desejáveis:\n• Conhecimento em arquitetura de dados\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Remota \n\n \n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Temporário - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Administrador de Banco de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nEngenharia da computação; Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-graduadoengenharia-computacao,-governanca-em-__10796586.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
17,"Bolsista Mestre [Engenharia Da Computação, Ciência Da Computação, Contabilidade] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Graduado\n• Formação: Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em Governança de dados\n• Conhecimento em Desenvolvimento de software (Back-end)\n• Inglês intermediário\n\nConhecimentos desejáveis:\n• Conhecimento em arquitetura de dados\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Remota \n\n \n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Temporário - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Administrador de Banco de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nEngenharia da computação; Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia-da-computacao,-ciencia-em-__10791396.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
18,"Bolsista Mestre [Engenharia Da Computação, Ciência Da Computação, Contabilidade] CIELO",INSTITUTO EUVALDO LODI,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Graduado\n• Formação: Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em Governança de dados\n• Conhecimento em Desenvolvimento de software (Back-end)\n• Inglês intermediário\n\nConhecimentos desejáveis:\n• Conhecimento em arquitetura de dados\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Remota \n\n \n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Temporário - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Administrador de Banco de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nEngenharia da computação; Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia-da-computacao,-ciencia-em-__10791217.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
19,Desenvolvedor Ruby On Rails Pleno,ao³ Tech,Todo Brasil,"R$ 7.000,00 (Bruto mensal)",Home office,"['Projeto de inovação do BECOMEX em parceria com Inova Talentos | IPT.\n\nPré-Requisitos:\n• Título: Graduado\n• Formação: Engenharia de Computação, Ciências da Computação, Análise e Desenvolvimento de Sistemas\n\nAtividades: \n• Levantamento de processo de captura de dados\n• Diagnóstico e documento do processo de captura de dados\n• Pesquisar mecanismos de armazenamento de dados\n• Mapeamento e otimização de processos de armazenagem com foco redução de custos\n• Pesquisar e comparar ferramentas de catálogo de dados\n• Participar do ciclo de desenvolvimento de ferramenta de catálogo de dados, desde a fase de requisitos a até a implementação do back-end e front-end.\n\nConhecimentos Necessários:\n• Conhecimentos em Banco da Dados Oracle, DotNet, Python e React\n• Conhecimento adicional preferencial: Bancos de Dados NoSQL\n• Conhecimento em Governança de dados\n• Conhecimento em Desenvolvimento de software (Back-end)\n• Inglês intermediário\n\nConhecimentos desejáveis:\n• Conhecimento em arquitetura de dados\n\nInformações adicionais:\n• Disponibilidade: 40h semanais\n• Duração: 12 meses\n• Bolsa Auxílio: R$ 7.000,00\n• Atuação: Remota \n\n \n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\nFaça parte do Grupo de Vagas no Telegram:\n\nhttps://t.me/+QNFwYQzbCcZhY2Mx\n\n(1134009085)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Temporário - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Administrador de Banco de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nEngenharia da computação; Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-desenvolvedor-ruby-on-rails-pleno-em-__10789668.aspx', 'empresa': 'https://www.infojobs.com.br/iob'}"
20,"Bolsista Mestre [Física, Matemática, Ciência Da Computação, Engenharia Da Computação] ICT ITAÚ",INSTITUTO EUVALDO LODI,,,,[''],"{'vaga': '/vaga-de-bolsista-mestre-fisica,-matematica,-ciencia-da-em-__10787455.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
21,,,,,,[''],"{'vaga': '/vaga-de-bolsista-mestre-fisica,-matematica,-ciencia-da-em-__10787455.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
22,"Bolsista Graduado [ Engenharia, Matemática, Ciências Da Computação, Áreas Correlatas] ICT ITAÚ",INSTITUTO EUVALDO LODI,,,,[''],"{'vaga': '/vaga-de-bolsista-graduado-engenharia,-matematica,-ciencias-em-__10784610.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
23,"Bolsista Mestre [ Engenharia, Matemática, Ciências Da Computação, Áreas Correlatas] ICT ITAÚ",INSTITUTO EUVALDO LODI,Todo Brasil,Salário a combinar,Home office,"['Projeto de inovação do INSTITUTO ITAÚ DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO em parceria Inova Talentos | IPT\n\nPré-Requisitos:\n• Perfil do bolsista: Mestre \n• Formação: Mestrado\n• Cursos: Engenharias, Matemática, Ciências da Computação, Computação Aplicada, Sistemas de Informação\n• Idiomas: Inglês\n\nAtividades:\n• Coleta de Dados, \n• Processamento e Normalização dos Dados, \n• Desenvolvimento da Plataforma\n• Indicadores de Gestão\n\n\nConhecimentos Necessários:\n• Conhecimentos em Cloud (desenvolvimento de aplicação 3-tier em ambiente de Cloud)\n• Inteligência Artificial (Machine Learning e Deep Learning)\n• Desenvolvimento de aplicações em Python ou Go Lang. \n• Práticas DevOps (mandatório)/ DevSecOps (diferencial) / SRE (diferencial).\n\nConhecimentos Desejáveis:\n• Estratégia de observabilidade e FinOps\n\nInformações adicionais:\n• Disponibilidade: 40h semanais;\n• Duração: 12 meses;\n• Bolsa Auxílio: R$ 9.000,00;\n• Atuação: Home Office;\n• Local de empresa: Bairro do Jabaquara, São Paulo.\n\n\nConheça o INOVA TALENTOS\n\nhttps://vimeo.com/676464243/165a0bf5f5\nhttps://vimeo.com/fabrikafilmes/review/680121344/b5b3c6e91d\n\n\n(1103711221)\nNúmero de vagas: 4\nTipo de contrato e Jornada: Outros - Período Integral\nÁrea Profissional: Trainee em Informática, TI, Telecomunicações - TI\nExigências\nEscolaridade Mínima: Pós-graduação - Mestrado\nDenunciar vaga']","{'vaga': '/vaga-de-bolsista-mestre-engenharia,-matematica,-ciencias-em-__10784584.aspx', 'empresa': 'https://www.infojobs.com.br/iel'}"
